,Unnamed: 0,Unnamed: 1,name,cargo_capacity,mass,crew,manufacturer,type,status,role,price,release_date,price_ingame,scm,max,length,beam,height
22,22,Aurora ES                 ,Aurora ES,3,26486.0,1, Roberts Space Industries                 , multi      , flight-ready," "" """"{'0': 'Starter' '1': 'Pathfinder'}          """"""",20.0, 2014        ,423360.0,225.0,1200.0,19.0,8.75,4.5
23,23,Aurora LN                 ,Aurora LN,3,28714.0,1, Roberts Space Industries                 , transport  , flight-ready, {'0': 'Light Fighter'}                             ,40.0, 2014        ,907200.0,225.0,1200.0,19.0,8.75,4.5
24,24,Aurora LX                 ,Aurora LX,3,26736.0,1, Roberts Space Industries                 , exploration, flight-ready, {'0': 'Pathfinder'}                                ,35.0, 2014        ,687960.0,225.0,1200.0,19.0,8.75,4.5
25,25,Aurora MR                 ,Aurora MR,3,27893.0,1, Roberts Space Industries                 , transport  , flight-ready, {'0': 'Light Fighter'}                             ,30.0, 2014        ,680400.0,225.0,1200.0,19.0,8.75,4.5
26,26,Avenger Stalker           ,Avenger Stalker,0,50786.0,1, Aegis Dynamics                           , combat     , flight-ready, {'0': 'Interdiction'}                              ,60.0, 2015        ,1587600.0,260.0,1425.0,20.0,15.0,6.5
27,27,Avenger Titan             ,Avenger Titan,8,51363.0,1, Aegis Dynamics                           , transport  , flight-ready, {'0': 'Light Freight'}                             ,60.0, 2014        ,1358280.0,260.0,1425.0,20.0,15.0,6.5
28,28,Avenger Warlock           ,Avenger Warlock,0,47232.0,1, Aegis Dynamics                           , combat     , flight-ready, {'0': 'Interdiction'}                              ,85.0, 2015        ,2249100.0,260.0,1425.0,20.0,15.0,6.5
29,29,Ballista                  ,Ballista,0,121816.0,2, Anvil Aerospace                          , combat     , flight-ready, {'0': 'Military'}                                  ,140.0, 2019        ,1481760.0,25.0,25.0,17.0,7.0,5.5
30,30,Blade                     ,Blade,0,27019.0,1, Esperia                                  , combat     , flight-ready, {'0': 'Light Fighter'}                             ,275.0, 2018        ,7796250.0,225.0,1200.0,20.5,16.5,5.5
31,31,Buccaneer                 ,Buccaneer,0,40527.0,1, Drake Interplanetary                     , combat     , flight-ready, {'0': 'Interdiction'}                              ,110.0, 2017        ,1663200.0,240.0,1400.0,15.25,16.75,5.5
32,32,C1 Spirit                 ,C1 Spirit,64,314271.0,2, Crusader Industries                      , transport  , flight-ready, {'0': 'Medium Freight'}                            ,125.0, 2023        ,3118500.0,204.0,1130.0,47.5,44.0,10.0
33,33,C2 Hercules               ,C2 Hercules,696,3139240.0,2, Crusader Industries                      , transport  , flight-ready, {'0': 'Heavy Freight'}                             ,400.0, 2021        ,18900000.0,160.0,950.0,70.0,94.0,23.0
34,34,C8 Pisces                 ,C8 Pisces,4,48143.0,3, Anvil Aerospace                          , exploration, flight-ready, {'0': 'Exploration'}                               ,0.0, 2019        ,745290.0,220.0,1150.0,16.0,12.0,8.0
35,35,C8R Pisces                ,C8R Pisces,0,48143.0,2, Anvil Aerospace                          , support    , flight-ready, {'0': 'Medical'}                                   ,65.0, 2022        ,555660.0,220.0,1150.0,16.0,12.0,8.0
36,36,C8X Pisces Expedition     ,C8X Pisces Expedition,4,48143.0,3, Anvil Aerospace                          , exploration, flight-ready, {'0': 'Expedition'}                                ,45.0, 2019        ,515970.0,220.0,1150.0,16.0,12.0,8.0
37,37,Carrack                   ,Carrack,456,4397858.0,6, Anvil Aerospace                          , exploration, flight-ready, {'0': 'Expedition'}                                ,600.0, 2019        ,34398000.0,140.0,1050.0,74.0,126.0,30.0
38,38,Caterpillar               ,Caterpillar,576,1660063.0,4, Drake Interplanetary                     , transport  , flight-ready, {'0': 'Heavy Freight'}                             ,330.0, 2016        ,12474000.0,130.0,900.0,13.4,39.5,111.5
39,39,Centurion                 ,Centurion,0,134016.0,2, Anvil Aerospace                          , ground     , flight-ready, {'0': 'Combat'}                                    ,110.0, 2022        ,1164240.0,25.0,25.0,17.0,7.0,5.5
40,40,Constellation Andromeda   ,Constellation Andromeda,96,430057.0,4, Roberts Space Industries                 , multi      , flight-ready," "" """"{'0': 'Medium Freight' '1': 'Gunship'}      """"""",240.0, 2015        ,10160640.0,200.0,1000.0,63.5,27.75,15.25
41,41,Constellation Aquila      ,Constellation Aquila,96,449743.0,4, Roberts Space Industries                 , exploration, flight-ready, {'0': 'Expedition'}                                ,315.0, 2017        ,12186720.0,146.0,988.0,63.5,27.75,15.25
42,42,Constellation Phoenix     ,Constellation Phoenix,96,427001.0,4, Roberts Space Industries                 , exploration, flight-ready, {'0': 'Luxury Touring'}                            ,350.0, 2018        ,14817600.0,200.0,1000.0,63.5,27.75,15.25
43,43,Constellation Taurus      ,Constellation Taurus,174,427001.0,4, Roberts Space Industries                 , transport  , flight-ready, {'0': 'Medium Freight'}                            ,200.0, 2021        ,8043840.0,200.0,1000.0,70.0,27.75,15.25
44,44,Corsair                   ,Corsair,72,445456.0,4, Drake Interplanetary                     , exploration, flight-ready, {'0': 'Expedition'}                                ,250.0, 2022        ,6552000.0,200.0,1000.0,53.0,30.0,25.0
45,45,Crucible                  ,Crucible,230,3650500.0,8, Anvil Aerospace                          , support    , in-concept  , {'0': 'Heavy Repair'}                              ,350.0, Unreleased  ,0.0,200.0,0.0,90.0,50.0,20.0
46,46,CSV-SM                    ,CSV-SM,4,14755.0,1, Argo Astronautics                        , ground     , flight-ready, {'0': 'Freight'}                                   ,45.0, 2024        ,68040.0,32.0,32.0,5.4,4.1,2.8
47,47,Cutlass Black             ,Cutlass Black,46,246577.0,3, Drake Interplanetary                     , multi      , flight-ready, {'0': 'Medium Freight'}                            ,110.0, 2014        ,2116800.0,215.0,1125.0,37.5,26.5,11.5
48,48,Cutlass Blue              ,Cutlass Blue,12,226700.0,3, Drake Interplanetary                     , combat     , flight-ready, {'0': 'Interdiction'}                              ,175.0, 2020        ,3704400.0,215.0,1125.0,37.5,26.5,11.5
49,49,Cutlass Red               ,Cutlass Red,12,226700.0,2, Drake Interplanetary                     , support    , flight-ready, {'0': 'Medical'}                                   ,135.0, 2020        ,2857680.0,215.0,1125.0,37.5,26.5,11.5
50,50,Cutlass Steel             ,Cutlass Steel,0,246577.0,3, Drake Interplanetary                     , combat     , flight-ready, {'0': 'Dropship'}                                  ,235.0, 2021        ,3997350.0,200.0,1100.0,37.5,26.5,11.5
51,51,Cutter                    ,Cutter,4,86877.0,1, Drake Interplanetary                     , transport  , flight-ready," "" """"{'0': 'Starter' '1': 'Light Freight'}       """"""",45.0, 2022        ,625040.0,180.0,1010.0,20.0,16.0,6.0
52,52,Cutter Rambler            ,Cutter Rambler,2,86877.0,1, Drake Interplanetary                     , exploration, flight-ready," "" """"{'0': 'Starter' '1': 'Expedition'}          """"""",50.0, 2023        ,740880.0,180.0,1010.0,20.0,16.0,6.0
53,53,Cutter Scout              ,Cutter Scout,2,92877.0,1, Drake Interplanetary                     , exploration, flight-ready," "" """"{'0': 'Reconnaissance' '1': 'Intelligence'} """"""",50.0, 2023        ,705600.0,180.0,1010.0,20.0,16.0,6.0
54,54,Cyclone                   ,Cyclone,1,28164.0,2, Tumbril Land Systems                     , ground     , flight-ready," "" """"{'0': 'Exploration' '1': 'Recon'}           """"""",55.0, 2018        ,103950.0,24.0,34.0,6.0,8.75,3.5
55,55,Cyclone AA                ,Cyclone AA,0,28264.0,2, Tumbril Land Systems                     , ground     , flight-ready, {'0': 'Anti-aircraft'}                             ,80.0, 2018        ,151200.0,31.0,31.0,6.0,8.75,3.5
56,56,Cyclone MT                ,Cyclone MT,0,27764.0,3, Tumbril Land Systems                     , ground     , flight-ready, {'0': 'Assault'}                                   ,75.0, 2021        ,141750.0,30.0,30.0,6.0,8.75,3.5
57,57,Cyclone RC                ,Cyclone RC,0,28264.0,2, Tumbril Land Systems                     , ground     , flight-ready, {'0': 'Racing'}                                    ,65.0, 2018        ,122850.0,38.0,38.0,6.0,8.75,3.5
58,58,Cyclone RN                ,Cyclone RN,0,28264.0,2, Tumbril Land Systems                     , ground     , flight-ready, {'0': 'Recon'}                                     ,65.0, 2018        ,122850.0,35.0,35.0,6.0,8.75,3.5
59,59,Cyclone TR                ,Cyclone TR,0,27964.0,3, Tumbril Land Systems                     , ground     , flight-ready, {'0': 'Combat'}                                    ,65.0, 2018        ,122850.0,32.0,32.0,6.0,8.75,3.5
60,60,Defender                  ,Defender,0,122930.0,2, Banu                                     , combat     , flight-ready, {'0': 'Light Fighter'}                             ,220.0, 2019        ,6237000.0,222.0,1175.0,24.5,24.5,5.0
61,61,Dragonfly                 ,Dragonfly,0,5600.0,2, Drake Interplanetary                     , competition, flight-ready, {'0': 'Racing'}                                    ,40.0, 2017        ,342720.0,190.0,523.0,7.0,7.0,2.0
62,62,E1 Spirit                 ,E1 Spirit,0,,2, Crusader Industries                      , transport  , in-concept  , {'0': 'Passenger'}                                 ,150.0, Unreleased  ,0.0,204.0,1130.0,46.5,43.5,10.0
63,63,Eclipse                   ,Eclipse,0,55920.0,1, Aegis Dynamics                           , combat     , flight-ready, {'0': 'Stealth Bomber'}                            ,300.0, 2018        ,7938000.0,202.0,1050.0,24.5,24.5,5.0
64,64,Endeavor                  ,Endeavor,500,4055000.0,5, MISC                                     , industrial , in-concept  , {'0': 'Heavy Science'}                             ,350.0, Unreleased  ,0.0,0.0,0.0,200.0,48.0,20.0
65,65,Expanse                   ,Expanse,128,,1, MISC                                     , industrial , in-concept  , {'0': 'Refinery'}                                  ,150.0, Unreleased  ,0.0,0.0,0.0,35.5,21.2,10.7
66,66,F7A Hornet Mk I           ,F7A Hornet Mk I,0,74132.0,1, Anvil Aerospace                          , combat     , flight-ready, {'0': 'Medium Fighter'}                            ,0.0, Unreleased  ,7527822.0,220.0,1146.0,22.5,21.0,6.0
67,67,F7A Hornet Mk II          ,F7A Hornet Mk II,0,73317.0,1, Anvil Aerospace                          , combat     , in-concept  , {'0': 'Medium Fighter'}                            ,150.0, Unreleased  ,0.0,220.0,1146.0,28.25,25.5,7.5
68,68,F7C Hornet Mk I           ,F7C Hornet Mk I,2,74132.0,1, Anvil Aerospace                          , combat     , flight-ready, {'0': 'Medium Fighter'}                            ,125.0, 2014        ,2910600.0,220.0,1150.0,28.25,25.5,7.5
69,69,F7C Hornet Mk II          ,F7C Hornet Mk II,0,73317.0,1, Anvil Aerospace                          , combat     , flight-ready, {'0': 'Medium Fighter'}                            ,175.0, 2024        ,7527822.0,220.0,1150.0,22.2,22.0,5.0
70,70,F7C-M Super Hornet        ,F7C-M Super Hornet,0,74132.0,2, Anvil Aerospace                          , combat     , flight-ready, {'0': 'Medium Fighter'}                            ,185.0, 2014        ,4762800.0,219.0,1150.0,28.25,25.5,7.5
71,71,F7C-R Hornet Tracker      ,F7C-R Hornet Tracker,0,74197.0,1, Anvil Aerospace                          , combat     , flight-ready, {'0': 'Pathfinder'}                                ,185.0, 2014        ,3210480.0,219.0,1150.0,28.25,25.5,7.5
72,72,F7C-R Hornet Tracker Mk II,F7C-R Hornet Tracker Mk II,0,73317.0,1, Anvil Aerospace                          , combat     , flight-ready, {'0': 'Pathfinder'}                                ,185.0, 2024        ,7527822.0,220.0,1150.0,22.5,15.0,5.0
73,73,F7C-S Hornet Ghost        ,F7C-S Hornet Ghost,0,73724.0,1, Anvil Aerospace                          , combat     , flight-ready, {'0': 'Stealth Fighter'}                           ,140.0, 2014        ,3307500.0,220.0,1150.0,28.25,25.5,7.5
74,74,F7C-S Hornet Ghost Mk II  ,F7C-S Hornet Ghost Mk II,0,73317.0,1, Anvil Aerospace                          , combat     , flight-ready, {'0': 'Stealth Fighter'}                           ,185.0, 2024        ,7527822.0,220.0,1150.0,22.5,15.0,5.0
75,75,F8C Lightning             ,F8C Lightning,0,158775.0,1, Anvil Aerospace                          , combat     , flight-ready, {'0': 'Heavy Fighter'}                             ,300.0, 2023        ,7527822.0,210.0,1100.0,25.0,24.0,6.5
76,76,Freelancer                ,Freelancer,66,231696.0,4, Musashi Industrial and Starflight Concern, transport  , flight-ready, {'0': 'Medium Freight'}                            ,110.0, 2016        ,3118500.0,197.0,1010.0,38.0,23.5,9.5
77,77,Freelancer DUR            ,Freelancer DUR,36,231696.0,4, Musashi Industrial and Starflight Concern, exploration, flight-ready, {'0': 'Expedition'}                                ,135.0, 2018        ,3316950.0,197.0,1010.0,38.0,23.5,9.5
78,78,Freelancer MAX            ,Freelancer MAX,120,231696.0,4, Musashi Industrial and Starflight Concern, transport  , flight-ready, {'0': 'Medium Freight'}                            ,150.0, 2018        ,4252500.0,197.0,1010.0,38.0,34.0,9.5
79,79,Freelancer MIS            ,Freelancer MIS,36,231696.0,4, Musashi Industrial and Starflight Concern, combat     , flight-ready, {'0': 'Gunship'}                                   ,175.0, 2018        ,4961250.0,197.0,1010.0,38.0,23.5,9.5
80,80,Fury                      ,Fury,0,15339.0,1, Mirai                                    , combat     , flight-ready, {'0': 'Snub Fighter'}                              ,55.0, 2023        ,727650.0,238.0,1263.0,7.0,5.4,3.0
81,81,Fury LX                   ,Fury LX,0,14232.0,1, Mirai                                    , competition, flight-ready, {'0': 'Racing'}                                    ,55.0, 2023        ,824670.0,249.0,1281.0,7.0,5.4,3.0
82,82,Fury MX                   ,Fury MX,0,15339.0,1, Mirai                                    , combat     , flight-ready, {'0': 'Snub Fighter'}                              ,55.0, 2023        ,727650.0,230.0,1250.0,7.0,5.4,2.6
83,83,G12                       ,G12,2,,2, Origin Jumpworks                         , ground     , in-concept  , {'0': 'Touring'}                                   ,60.0, Unreleased  ,0.0,50.0,50.0,7.2,5.8,2.7
84,84,G12a                      ,G12a,0,,2, Origin Jumpworks                         , ground     , in-concept  , {'0': 'Military'}                                  ,65.0, Unreleased  ,0.0,45.0,45.0,7.2,5.8,2.7
85,85,G12r                      ,G12r,0,,2, Origin Jumpworks                         , competition, in-concept  , {'0': 'Racing'}                                    ,60.0, Unreleased  ,0.0,55.0,55.0,7.2,5.8,2.7
86,86,Galaxy                    ,Galaxy,64,,6, Roberts Space Industries                 , multi      , in-concept  , {'0': 'Modular'}                                   ,380.0, Unreleased  ,0.0,210.0,0.0,110.0,60.0,22.0
87,87,Genesis                   ,Genesis,300,3120000.0,8, Crusader Industries                      , transport  , in-concept  , {'0': 'Passenger'}                                 ,400.0, Unreleased  ,0.0,159.5,1130.0,85.0,80.0,25.0
88,88,Gladiator                 ,Gladiator,0,88408.0,2, Anvil Aerospace                          , combat     , flight-ready, {'0': 'Bomber'}                                    ,165.0, 2015        ,4365900.0,210.0,1125.0,22.75,21.0,6.0
89,89,Gladius                   ,Gladius,0,51352.0,1, Aegis Dynamics                           , combat     , flight-ready, {'0': 'Light Fighter'}                             ,90.0, 2015        ,2381400.0,225.0,1230.0,21.0,17.5,5.5
90,90,Glaive                    ,Glaive,0,72091.0,1, Esperia                                  , combat     , flight-ready, {'0': 'Medium Fighter'}                            ,350.0, 2014        ,7527822.0,220.0,1150.0,33.0,24.0,9.0
91,91,Guardian                  ,Guardian,0,117500.0,1, Mirai                                    , combat     , flight-ready, {'0': 'Heavy Fighter'}                             ,250.0, 2024        ,7527822.0,213.0,1125.0,25.0,16.5,9.0
92,92,Guardian QI               ,Guardian QI,0,117500.0,1, Mirai                                    , combat     , flight-ready, {'0': 'Heavy Fighter'}                             ,260.0, 2024        ,7527822.0,210.0,1100.0,25.0,16.5,9.0
93,93,Hammerhead                ,Hammerhead,40,4617511.0,9, Aegis Dynamics                           , combat     , flight-ready, {'0': 'Heavy Gun Ship'}                            ,725.0, 2018        ,47958752.0,160.0,950.0,120.0,72.0,16.0
94,94,Hawk                      ,Hawk,0,67066.0,1, Anvil Aerospace                          , combat     , flight-ready, {'0': 'Light Fighter'}                             ,100.0, 2018        ,2646000.0,222.0,1175.0,0.0,0.0,0.0
95,95,Herald                    ,Herald,0,65705.0,1, Drake Interplanetary                     , transport  , flight-ready, {'0': 'Medium Data'}                               ,85.0, 2016        ,1285200.0,240.0,1400.0,24.75,12.5,9.0
96,96,HoverQuad                 ,HoverQuad,0,4850.0,1, Consolidated Outland                     , ground     , flight-ready, {'0': 'Racing'}                                    ,30.0, 2022        ,56700.0,200.0,550.0,1.45,1.32,5.15
97,97,Hull A                    ,Hull A,64,122650.0,1, Musashi Industrial and Starflight Concern, industrial , flight-ready, {'0': 'Medium Freight'}                            ,90.0, 2022        ,1701000.0,140.0,950.0,30.0,12.5,8.0
98,98,Hull B                    ,Hull B,384,387500.0,1, MISC                                     , transport  , in-concept  , {'0': 'Heavy Freight'}                             ,140.0, Unreleased  ,0.0,159.5,1130.0,49.0,15.5,17.0
99,99,Hull C                    ,Hull C,4608,886930.0,4, Musashi Industrial and Starflight Concern, transport  , flight-ready, {'0': 'Heavy Freight'}                             ,500.0, 2023        ,16537500.0,110.0,890.0,91.17,36.05,26.28
100,100,Hull D                    ,Hull D,20736,1216000.0,5, MISC                                     , transport  , in-concept  , {'0': 'Heavy Freight'}                             ,550.0, Unreleased  ,0.0,159.5,1130.0,209.0,70.0,70.0
101,101,Hull E                    ,Hull E,98304,1652000.0,5, MISC                                     , transport  , in-concept  , {'0': 'Heavy Freight'}                             ,750.0, Unreleased  ,0.0,159.5,1130.0,372.0,104.0,104.0
102,102,Hurricane                 ,Hurricane,0,90245.0,2, Anvil Aerospace                          , combat     , flight-ready, {'0': 'Heavy Fighter'}                             ,210.0, 2018        ,5556600.0,220.0,1150.0,0.0,0.0,0.0
103,103,Idris-M                   ,Idris-M,831,37854373.0,28, Aegis Dynamics                           , combat     , in-concept  , {'0': 'Frigate'}                                   ,1000.0, Unreleased  ,0.0,45.0,800.0,243.0,127.0,57.5
104,104,Idris-P                   ,Idris-P,995,37854373.0,28, Aegis Dynamics                           , combat     , in-concept  , {'0': 'Frigate'}                                   ,1500.0, Unreleased  ,0.0,45.0,800.0,240.0,125.0,45.0
105,105,Intrepid                  ,Intrepid,8,77653.0,1, Crusader Industries                      , transport  , flight-ready, {'0': 'Light Freight'}                             ,65.0, 2024        ,5049818.0,227.0,1225.0,23.07,20.18,6.13
106,106,Ironclad                  ,Ironclad,1536,,6, Drake Interplanetary                     , transport  , in-concept  , {'0': 'Armored Freight'}                           ,450.0, Unreleased  ,0.0,159.5,1130.0,120.0,52.0,20.0
107,107,Ironclad Assault          ,Ironclad Assault,1152,,6, Drake Interplanetary                     , combat     , in-concept  , {'0': 'Combined Arms Platform'}                    ,535.0, Unreleased  ,0.0,90.0,911.5,120.0,52.0,20.0
108,108,Javelin                   ,Javelin,5400,111080494.0,80, Aegis Dynamics                           , combat     , in-concept  , {'0': 'Destroyer'}                                 ,3000.0, Unreleased  ,0.0,50.0,900.0,0.0,0.0,0.0
109,109,Khartu-Al                 ,Khartu-Al,0,72711.0,1, Aopoa                                    , combat     , flight-ready, {'0': 'Light Fighter'}                             ,175.0, 2016        ,7229250.0,226.0,1206.0,32.0,13.5,8.75
110,110,Kraken                    ,Kraken,3792,,10, Drake Interplanetary                     , industrial , in-concept  ," "" """"{'0': 'Multi-Role' '1': 'Light Carrier'}    """"""",1650.0, Unreleased  ,0.0,0.0,0.0,270.0,104.0,64.0
111,111,Kraken Privateer          ,Kraken Privateer,768,,10, Drake Interplanetary                     , industrial , in-concept  ," "" """"{'0': 'Multi-Role' '1': 'Light Carrier'}    """"""",2000.0, Unreleased  ,0.0,0.0,0.0,270.0,104.0,64.0
112,112,Legionnaire               ,Legionnaire,0,,2, Anvil Aerospace                          , combat     , in-concept  , {'0': 'Boarding'}                                  ,120.0, Unreleased  ,0.0,90.0,911.5,32.0,24.0,13.0
113,113,Liberator                 ,Liberator,400,,2, Anvil Aerospace                          , transport  , in-concept  , {'0': 'Light Carrier'}                             ,575.0, Unreleased  ,0.0,115.0,1130.0,119.0,67.0,25.0
114,114,Lynx                      ,Lynx,0,45157.0,2, Roberts Space Industries                 , ground     , flight-ready," "" """"{'0': 'Luxury Transport' '1': 'Explorer'}   """"""",60.0, 2023        ,262800.0,30.0,30.0,7.75,5.7,3.5
115,115,M2 Hercules               ,M2 Hercules,522,3139240.0,3, Crusader Industries                      , combat     , flight-ready, {'0': 'Military Transport'}                        ,520.0, 2021        ,29484000.0,160.0,950.0,70.0,94.0,23.0
116,116,M50                       ,M50,0,10552.0,1, Origin Jumpworks                         , competition, flight-ready, {'0': 'Racing'}                                    ,100.0, 2014        ,1499400.0,280.0,1450.0,11.5,11.0,3.5
117,117,Mantis                    ,Mantis,0,228123.0,1, Roberts Space Industries                 , combat     , flight-ready, {'0': 'Interdictor'}                               ,150.0, 2019        ,3402000.0,236.0,1393.0,30.0,17.0,7.5
118,118,Merchantman               ,Merchantman,2880,9635000.0,8, Banu                                     , transport  , in-concept  , {'0': 'Heavy Freight'}                             ,650.0, Unreleased  ,0.0,159.5,1130.0,160.0,160.0,65.0
119,119,Mercury                   ,Mercury,114,715175.0,3, Crusader Industries                      , transport  , flight-ready," "" """"{'0': 'Medium Data' '1': 'Medium Cargo'}    """"""",260.0, 2020        ,12285000.0,215.0,1200.0,51.0,55.0,19.0
120,120,MOLE                      ,MOLE,96,869686.0,4, Argo Astronautics                        , industrial , flight-ready," "" """"{'0': 'Mining' '1': 'Prospecting'}          """"""",315.0, 2019        ,8930250.0,140.0,960.0,45.0,26.0,15.0
121,121,MPUV Cargo                ,MPUV Cargo,2,13030.0,1, Argo Astronautics                        , transport  , flight-ready, {'0': 'Light Freight'}                             ,35.0, 2016        ,330750.0,170.0,890.0,10.5,9.0,5.0
122,122,MPUV Personnel            ,MPUV Personnel,0,13005.0,1, Argo Astronautics                        , transport  , flight-ready, {'0': 'Passenger'}                                 ,40.0, 2016        ,330750.0,170.0,890.0,10.5,9.0,5.0
123,123,MPUV Tractor              ,MPUV Tractor,16,8015.0,1, Argo Astronautics                        , transport  , flight-ready, {'0': 'Cargo Loader'}                              ,40.0, 2024        ,330750.0,175.0,895.0,9.0,8.5,4.0
124,124,Mule                      ,Mule,1,7553.0,1, Drake Interplanetary                     , ground     , flight-ready, {'0': 'Transport'}                                 ,45.0, 2022        ,68040.0,32.0,32.0,6.0,8.75,3.5
125,125,Mustang Alpha             ,Mustang Alpha,4,34221.0,1, Consolidated Outland                     , multi      , flight-ready, {'0': 'Cargo'}                                     ,30.0, 2014        ,642600.0,225.0,1200.0,21.5,18.0,9.0
126,126,Mustang Beta              ,Mustang Beta,0,41113.0,1, Consolidated Outland                     , exploration, flight-ready, {'0': 'Pathfinder'}                                ,40.0, 2014        ,655200.0,225.0,1200.0,21.5,18.0,9.0
127,127,Mustang Delta             ,Mustang Delta,0,38763.0,1, Consolidated Outland                     , combat     , flight-ready, {'0': 'Light Fighter'}                             ,65.0, 2014        ,1228500.0,225.0,1200.0,21.5,18.0,9.0
128,128,Mustang Gamma             ,Mustang Gamma,0,31565.0,1, Consolidated Outland                     , competition, flight-ready, {'0': 'Racing'}                                    ,55.0, 2014        ,1178100.0,244.0,1230.0,21.5,18.0,9.0
